Не	INTJ
една	DET
европейска	ADJ
държава	NOUN
има	VERB
такъв	DET
документ	NOUN
.	PUNCT

"	PUNCT
Янке	PROPN
,	PUNCT
бир	X
дакика	X
"	PUNCT
,	PUNCT
включва	VERB
се	PRON
зетят	NOUN
Андон	PROPN
с	ADP
единственото	ADJ
,	PUNCT
което	PRON
знае	VERB
на	ADP
турски	ADJ
-	PUNCT
"	PUNCT
една	NUM
минутка	NOUN
"	PUNCT
да	AUX
я	PRON
прекъсне	VERB
.	PUNCT

Но	CCONJ
след	ADP
като	ADP
разбереш	VERB
,	PUNCT
че	SCONJ
това	PRON
не	PART
е	AUX
отговорът	NOUN
на	ADP
собствените	ADJ
ти	PRON
проблеми	NOUN
,	PUNCT
ти	PRON
отново	ADV
се	PRON
интегрираш	VERB
в	ADP
него	PRON
с	ADP
доста	ADV
по-прагматични	ADJ
и	CCONJ
диференцирани	ADJ
очаквания	NOUN
.	PUNCT

Основното	ADJ
обвинение	NOUN
на	ADP
Пейчев	PROPN
е	VERB
,	PUNCT
че	SCONJ
фирмата	NOUN
на	ADP
Чорни	PROPN
не	PART
била	AUX
подала	VERB
навреме	ADV
декларация	NOUN
за	ADP
нова	ADJ
данъчна	ADJ
оценка	NOUN
и	CCONJ
в	ADP
продължение	NOUN
на	ADP
2	NUM
години	NOUN
е	AUX
плащала	VERB
по-ниски	ADJ
данъци	NOUN
за	ADP
имота	NOUN
.	PUNCT
