Teine	DET
asi	NOUN
,	PUNCT
kui	SCONJ
oleme	AUX
ise	PRON
selleks	PRON
nõusoleku	NOUN
andnud	VERB
.	PUNCT

"	PUNCT
Paberil	NOUN
ju	ADV
olid	AUX
küll	ADV
nagu	ADV
,	PUNCT
noh	INTJ
,	PUNCT
et	SCONJ
jagasite	VERB
kätte	NOUN
ja	CCONJ
?	PUNCT
"	PUNCT

Aga	CCONJ
ta	PRON
ei	AUX
teadnud	VERB
,	PUNCT
kas	ADV
on	AUX
ikka	ADV
paslik	ADJ
minna	VERB
öösel	ADV
kööki	NOUN
kondenspiima	NOUN
sööma	VERB
,	PUNCT
ehk	ADV
oleks	AUX
õigem	ADJ
oodata	VERB
hommikut	NOUN
?	PUNCT

Mitmed	PRON
teadlased	NOUN
on	AUX
täheldanud	VERB
ameerika	ADJ
heeringa	NOUN
õli	NOUN
söötmise	NOUN
positiivset	ADJ
mõju	NOUN
kanabroilerite	NOUN
kasvule	NOUN
(	PUNCT
Dansky	PROPN
,	PUNCT
1962	NUM
;	PUNCT
Edwards	PROPN
et	X
al.	X
,	PUNCT
1962	NUM
;	PUNCT
Edwards	PROPN
,	PUNCT
Marion	PROPN
,	PUNCT
1963	NUM
)	PUNCT
.	PUNCT

Tööandja	NOUN
kulutas	VERB
koolituse	NOUN
peale	ADP
kõige	ADV
enam	ADV
1999.	ADJ
aastal	NOUN
(	PUNCT
60,5	NUM
%	SYM
nelja	NUM
viimase	ADJ
kuu	NOUN
jooksul	ADP
külastatud	ADJ
kursuste	NOUN
maksumustest	NOUN
)	PUNCT
.	PUNCT
