Yine	ADV
dışarının	NOUN
soğuğuna	ADJ
nispet	NOUN
,	PUNCT
içerisi	NOUN
gürül	X
gürül	X
yanan	VERB
soba	NOUN
sayesinde	NOUN
sımsıcaktı	ADJ
.	PUNCT

Bazılarımız	PRON
buna	PRON
gerek	NOUN
olmadığını	VERB
düşünüyordu	VERB
ama	CCONJ
çoğunluk	NOUN
,	PUNCT
apartmana	NOUN
esprili	NOUN
bir	NUM
ad	NOUN
taksak	VERB
fena	ADJ
mı	AUX
olur	VERB
a	INTJ
yatkındı	ADJ
.	PUNCT

Gerçek	ADJ
parçacıklar	NOUN
Geiger	PROPN
sayıcılarında	NOUN
click	NOUN
sesi	NOUN
üretirler	VERB
.	PUNCT

Aman	INTJ
Allahım	NOUN
yüz	NUM
bin	NUM
lira	NOUN
!	PUNCT
diye	ADP
hayretle	NOUN
bağırdı	VERB
Melek	PROPN
.	PUNCT

Tezgahtan	NOUN
ve	CCONJ
günün	NOUN
hayhuyundan	NOUN
ne	PRON
kadar	ADP
uzak	ADJ
olduğu	VERB
sanılırsa	VERB
sanılsın	VERB
bu	DET
oda	NOUN
bir	NUM
süre	NOUN
sonra	ADP
tezgahı	NOUN
aratır	VERB
oldu	VERB
.	PUNCT
