http://www.playatmcd.com/en-us/Main/Gameboard	X

Sorry	INTJ
,	PUNCT
I	PRON
'm	AUX
just	ADV
very	ADV
nervous	ADJ
after	SCONJ
watching	VERB
the	DET
movie	NOUN
.	PUNCT

It	PRON
was	VERB
not	PART
so	ADV
long	ADV
after	SCONJ
Civil	ADJ
Rights	NOUN
laws	NOUN
against	ADP
discrimination	NOUN
started	VERB
to	PART
have	VERB
an	DET
impact	NOUN
.	PUNCT

how	ADV
rough	ADJ
is	AUX
too	ADV
rough	ADJ
?	PUNCT

Where	ADV
else	ADV
can	AUX
you	PRON
go	VERB
for	ADP
$	SYM
10	NUM
and	CCONJ
recieve	VERB
this	DET
treatment	NOUN
?!	PUNCT

Mr	NOUN
President	NOUN
,	PUNCT
it	PRON
is	AUX
incumbent	ADJ
upon	ADP
me	PRON
to	PART
remind	VERB
my	DET
colleague	NOUN
,	PUNCT
Mr	NOUN
Evans	PROPN
,	PUNCT
of	ADP
why	SCONJ
Wales	PROPN
actually	ADV
achieved	VERB
Objective	NOUN
1	NUM
status	NOUN
.	PUNCT
