O	PRON
naz	NOUN
ettiyse	VERB
kurusu	ADJ
var	ADJ
.	PUNCT

Adamın	NOUN
evi	NOUN
pırıl	X
pırıl	X
olmuş	VERB
,	PUNCT
annenin	NOUN
sağlığı	NOUN
pekmezin	NOUN
verdiği	VERB
güçle	ADJ
yerine	NOUN
gelmiş	VERB
.	PUNCT

Tamam	ADJ
oğlum	NOUN
,	PUNCT
haydi	INTJ
çık	VERB
sudan	NOUN
,	PUNCT
diye	ADP
yineledi	VERB
Recep	PROPN
,	PUNCT
çocuğun	NOUN
pantolonuna	NOUN
doğru	ADP
giderken	VERB
.	PUNCT

Fizik	NOUN
yasası	NOUN
olarak	ADP
nitelendirebileceğimiz	VERB
ilk	ADJ
bulguları	NOUN
elde	NOUN
eden	VERB
Arşimed'in	PROPN
,	PUNCT
kumun	NOUN
üstüne	ADJ
çizdiği	VERB
şekillerle	NOUN
bu	DET
geometri	NOUN
problemini	NOUN
çözmeye	VERB
çalışırken	VERB
,	PUNCT
Siraküza'yı	PROPN
işgal	NOUN
eden	VERB
Roma	PROPN
ordusunun	NOUN
bir	NUM
askeri	NOUN
tarafından	NOUN
öldürülmesi	VERB
,	PUNCT
adeta	ADV
Roma'nın	PROPN
teori	NOUN
düşmanlığının	NOUN
bir	NUM
simgesi	NOUN
olarak	ADP
tarihe	NOUN
geçmiştir	VERB
.	PUNCT

Aşk	NOUN
öyküsü	NOUN
yazmayalım	VERB
mı	AUX
yani	CCONJ
.	PUNCT
