Hehee	INTJ
,	PUNCT
ülejäänud	ADJ
kanalid	NOUN
on	AUX
ju	ADV
üleni	ADV
seepi	NOUN
täis	ADV
.	PUNCT

Need	PRON
esindavad	VERB
112	NUM
firmat	NOUN
ja	CCONJ
institutsiooni	NOUN
.	PUNCT

Hämmastav	ADJ
,	PUNCT
et	SCONJ
jõudnud	VERB
ligi	ADV
100	NUM
miljoni	NUM
valgusaasta	NOUN
kauguseni	NOUN
galaktikast	NOUN
,	PUNCT
pole	AUX
kõrvad	NOUN
ikka	ADV
veel	ADV
jahtunud	VERB
ja	CCONJ
hajunud	VERB
.	PUNCT

Seetõttu	ADV
kipume	VERB
unustama	VERB
,	PUNCT
et	SCONJ
inimene	NOUN
kõigi	DET
oma	PRON
naha	NOUN
ja	CCONJ
karvadega	NOUN
on	AUX
jäänud	VERB
,	PUNCT
vaatamata	ADP
tänapäevasele	ADJ
luulele	NOUN
ja	CCONJ
teadusele	NOUN
,	PUNCT
eetikale	NOUN
ja	CCONJ
prügikäitlusele	NOUN
,	PUNCT
kosmosetehnoloogiale	NOUN
ja	CCONJ
missivõistlustele	NOUN
,	PUNCT
liigina	NOUN
praktiliselt	ADV
samaks	PRON
,	PUNCT
kes	PRON
ta	PRON
oli	AUX
umbes	ADV
50	NUM
000	NUM
aastat	NOUN
tagasi	ADP
.	PUNCT

Kui	SCONJ
Toomas	PROPN
Savi	PROPN
oli	AUX
aprillis	NOUN
Berliinis	PROPN
visiidil	NOUN
,	PUNCT
sai	VERB
ta	PRON
Saksa	PROPN
parlamendi	NOUN
kõikide	DET
fraktsioonide	NOUN
esimeestelt	NOUN
kinnituse	NOUN
,	PUNCT
et	SCONJ
kõik	PRON
,	PUNCT
välja	ADV
arvatud	ADJ
Saksa	PROPN
endised	ADJ
kommunistid	NOUN
,	PUNCT
toetavad	VERB
Eesti	PROPN
saamist	NOUN
nii	ADV
NATO	PROPN
kui	CCONJ
Euroopa	PROPN
Liidu	PROPN
liikmeks	NOUN
.	PUNCT

Kuigi	SCONJ
meile	PRON
on	AUX
väga	ADV
tähtsad	ADJ
tootmiskvoodid	NOUN
suuremahuliste	ADJ
põllumajandussaaduste	NOUN
-	PUNCT
piim	NOUN
,	PUNCT
liha	NOUN
,	PUNCT
teravili	NOUN
-	PUNCT
kohta	ADP
,	PUNCT
ei	AUX
tohiks	AUX
unustada	VERB
ka	ADV
ülejäänud	ADJ
traditsioonilisi	ADJ
tootmisharusid	NOUN
.	PUNCT

Seal	ADV
süüakse	VERB
palju	ADV
mereande	NOUN
ning	CCONJ
pruulitakse	VERB
hõrkusid	ADJ
valgeid	ADJ
ja	CCONJ
rosé	NOUN
veine	NOUN
.	PUNCT

Tema	PRON
sõnul	NOUN
on	AUX
üheks	DET
sellesuviseks	ADJ
kiiruste	NOUN
tõstjaks	NOUN
kindlasti	ADV
politsei	NOUN
puudumine	NOUN
maanteedelt	NOUN
.	PUNCT

Võimalik	ADJ
,	PUNCT
