Jonakin	DET
päivänä	NOUN
hän	PRON
soittaisi	VERB
ja	CCONJ
pyytäisi	VERB
Annan	PROPN
ottamat	VERB
kuvat	NOUN
nähdäkseen	VERB
.	PUNCT

Alusta	NOUN
lähtien	ADP
kaikki	PRON
on	AUX
mennyt	VERB
hienosti	ADV
.	PUNCT

Se	PRON
olisi	AUX
liian	ADV
suuri	ADJ
elämänmuutos	NOUN
,	PUNCT
kun	SCONJ
olen	AUX
viisi	NUM
vuotta	NOUN
ollut	VERB
melko	PART
vapaana	ADJ
menijänä	NOUN
.	PUNCT

Joo	INTJ
,	PUNCT
aika	ADV
säälittävää	ADJ
allekirjoittaneelta	NOUN
.	PUNCT
:/	SYM

Lesson	X
learned	X
,	PUNCT
tunto	NOUN
palailee	VERB
tässä	PRON
pikkuhiljaa	ADV
varpaisiin	NOUN
...	PUNCT
