Но	CCONJ
ако	SCONJ
вие	PRON
мислите	VERB
,	PUNCT
че	SCONJ
ще	AUX
излъжете	VERB
Европейския	ADJ
съюз	NOUN
с	ADP
такива	DET
стратегии	NOUN
,	PUNCT
вие	PRON
трябва	VERB
да	AUX
сте	AUX
големи	ADJ
наивници	NOUN
.	PUNCT

Макар	ADP
че	SCONJ
може	VERB
да	AUX
намалява	VERB
непосредствената	ADJ
тревожност	NOUN
,	PUNCT
избягването	NOUN
често	ADV
води	VERB
до	ADP
по-голям	ADJ
стрес	NOUN
в	ADP
дългосрочен	ADJ
план	NOUN
,	PUNCT
защото	ADV
не	PART
знаем	VERB
кога	ADV
проблемите	NOUN
ще	AUX
ни	PRON
"	PUNCT
захапят	VERB
за	ADP
краката	NOUN
"	PUNCT
.	PUNCT

-	PUNCT
Не	INTJ
.	PUNCT

"	PUNCT
Янке	PROPN
,	PUNCT
бир	X
дакика	X
"	PUNCT
,	PUNCT
включва	VERB
се	PRON
зетят	NOUN
Андон	PROPN
с	ADP
единственото	ADJ
,	PUNCT
което	PRON
знае	VERB
на	ADP
турски	ADJ
-	PUNCT
"	PUNCT
една	NUM
минутка	NOUN
"	PUNCT
да	AUX
я	PRON
прекъсне	VERB
.	PUNCT
