пренасочване	O
Мориц	B-PER
фон	I-PER
Захсен-Лауенбург	I-PER

виж	O
Национален	B-ORG
отбор	I-ORG
по	I-ORG
футбол	I-ORG
на	I-ORG
Ангола	I-ORG

Естуар	B-LOC
(	I-LOC
провинция	I-LOC
)	I-LOC

Намира	O
се	O
на	O
8	O
км	O
западно	O
от	O
Статос-Агиос	B-LOC
Фотиос	I-LOC
.	O

Не	O
са	O
известни	O
много	O
подробности	O
около	O
ранния	O
му	O
живот	O
,	O
но	O
се	O
знае	O
,	O
че	O
преди	O
възкачването	O
си	O
е	O
бил	O
женен	O
за	O
Егнация	B-PER
Мариниана	I-PER
,	O
също	O
от	O
благородно	O
потекло	O
.	O

пренасочване	O
ФК	B-ORG
Кардиф	I-ORG
Сити	I-ORG
