#	O
鍾	B-PER
舒	I-PER
漫	I-PER

r	O
e	O
d	O
i	O
r	O
e	O
c	O
t	O
#	O
斗	B-ORG
六	I-ORG
棒	I-ORG
球	I-ORG
場	I-ORG

《	O
新	O
劇	O
場	O
版	O
：	O
破	O
》	O
序	O
盤	O
登	O
場	O
，	O
封	O
印	O
在	O
北	O
極	O
基	O
地	O
裡	O
的	O
「	O
阿	B-LOC
刻	I-LOC
戎	I-LOC
」	O
（	O
A	O
c	O
h	O
e	O
r	O
o	O
n	O
，	O
希	O
臘	O
神	O
話	O
的	O
「	O
冥	O
界	O
之	O
河	O
」	O
）	O
處	O
，	O
因	O
為	O
不	O
明	O
原	O
因	O
被	O
喚	O
醒	O
，	O
於	O
是	O
跟	O
五	O
號	O
機	O
交	O
戰	O
的	O
使	O
徒	O
。	O
藉	O
著	O
解	O
剖	O
這	O
個	O
使	O
徒	O
，	O
人	O
類	O
也	O
得	O
知	O
了	O
使	O
徒	O
的	O
各	O
種	O
情	O
報	O
，	O
而	O
在	O
這	O
解	O
剖	O
之	O
後	O
，	O
登	O
場	O
時	O
模	O
樣	O
為	O
一	O
長	O
形	O
骨	O
骸	O
龍	O
型	O
，	O
但	O
移	O
動	O
的	O
時	O
候	O
是	O
藉	O
著	O
下	O
面	O
的	O
球	O
型	O
中	O
伸	O
出	O
之	O
觸	O
手	O
高	O
速	O
行	O
動	O
。	O
最	O
後	O
在	O
真	O
希	O
波	O
駕	O
駛	O
的	O
E	O
V	O
A	O
五	O
號	O
機	O
破	O
壞	O
S	O
²	O
機	O
關	O
後	O
自	O
爆	O
死	O
亡	O
。	O
