Horrek	DET
ekarriko	VERB
luke	AUX
estatu	NOUN
bakoitzak	ADJ
duen	VERB
boto	NOUN
kopurua	NOUN
egokitzea	VERB
daukan	VERB
biztanle	NOUN
kopuruari	NOUN
.	PUNCT

Tira	INTJ
,	PUNCT
uste	NOUN
dut	VERB
taldeak	NOUN
ez	PART
didala	AUX
konfiantza	NOUN
handirik	ADJ
erakutsi	VERB
.	PUNCT

Txapelak	NOUN
2-4	NUM
cm-ko	SYM
zabalera	NOUN
du	VERB
eta	CCONJ
beherantz	NOUN
biltzen	VERB
diren	AUX
bi	NUM
gingilez	NOUN
osaturik	VERB
dago	AUX
,	PUNCT
eta	CCONJ
bizikleta-silinaren	NOUN
forma	NOUN
izan	VERB
ohi	X
du	AUX
.	PUNCT

Norbaitekin	PRON
gehiengoa	NOUN
lortuz	VERB
gero	ADV
,	PUNCT
aukera	NOUN
izango	VERB
du	AUX
aurrekontu	NOUN
berriak	ADJ
egiteko	VERB
,	PUNCT
eta	CCONJ
hala	ADV
esan	VERB
zuen	AUX
atzo	ADV
Idoia	PROPN
Zenarruzabeitia	PROPN
Ogasun	NOUN
sailburu	NOUN
eta	CCONJ
lehendakariordeak	NOUN
.	PUNCT

Zelai	NOUN
hondotik	NOUN
pilota	NOUN
gogor	ADV
kolpatuz	VERB
,	PUNCT
eragozpenik	NOUN
gabe	ADP
gainditu	VERB
du	AUX
bigarren	NUM
koska	NOUN
Flushing	PROPN
Meadowsen	PROPN
.	PUNCT
