***	O
'	O
''	O
Erzstift	B-ORG
Trier	I-ORG
''	O
'	O

Er	O
war	O
Mitbegründer	O
des	O
Club	B-ORG
of	I-ORG
Rome	I-ORG
''	O
.	O

Bad	B-LOC
Homburg	I-LOC
vor	I-LOC
der	I-LOC
Höhe	I-LOC

**	O
'	O
''	O
Sachsen	B-LOC
''	O
'	O

hinter	O
Yvonne	B-PER
van	I-PER
Vlerken	I-PER
auf	O
dem	O
2	O
.	O

''	O
Deeez	O
Nuuuts	O
''	O
by	O
Dr.	B-PER
Dre	I-PER

Sie	O
nahm	O
ihren	O
Wohnsitz	O
in	O
New	B-LOC
York	I-LOC
.	O

Nachruf	O
in	O
der	O
Los	B-ORG
Angeles	I-ORG
Times	I-ORG
vom	O
25	O
.	O

'	O
''	O
Königreich	B-LOC
Großbritannien	I-LOC
''	O
'	O
und	O
'	O
''	O
Königreich	B-ORG
Irland	I-ORG
''	O
'	O

Zudem	O
lief	O
sie	O
in	O
den	O
Finalspielen	O
des	O
UEFA	B-LOC
Women’s	I-LOC
Cup	I-LOC
2006	I-LOC
/	I-LOC
07	I-LOC
auf	O
.	O

Die	O
Hauptrolle	O
spielt	O
Charles	B-PER
Bronson	I-PER
.	O

Stilistisch	O
rücken	O
der	O
derbe	O
Wortwitz	O
,	O
die	O
ausgedehnten	O
Gewaltdarstellungen	O
,	O
sowie	O
die	O
skurrilen	O
Charaktere	O
die	O
Serie	O
in	O
die	O
Nähe	O
der	O
Filme	O
von	O
Quentin	B-PER
Tarantino	I-PER
.	O
