ای	INTJ
اسیران	NOUN
امیال	NOUN
و	CCONJ
وابستگیها	NOUN
بس	ADV
کنید	VERB
!	PUNCT

میفرمود	VERB
:	PUNCT
افلا	X
اکون	X
عبدا	X
شکورا	X
؛	PUNCT
آیا	SCONJ
بندهٔ	NOUN
سپاسگزار	ADJ
خدا	NOUN
نباشم	AUX
که	SCONJ
این	DET
همه	PRON
به	ADP
من	PRON
نعمت	NOUN
داده	VERB
است	VERB
؟	PUNCT
!	PUNCT

در	ADP
شعر	NOUN
بنابراین	SCONJ
حداقل	ADV
پانصد	NUM
اشتباه	NOUN
و	CCONJ
غلط	ADJ
به	ADP
خورد	NOUN
مردم	NOUN
دادهام	VERB
و	CCONJ
تازه	ADV
اینها	PRON
آن	DET
چیزهایی	NOUN
است	AUX
که	SCONJ
خودم	PRON
متوجه	NOUN
شدم	AUX
وگرنه	CCONJ
بسیاری	NOUN
را	PART
هنوز	ADV
دیگران	PRON
باید	AUX
بگویند	VERB
.	PUNCT
