רוב	DET
הבאים	VERB
להספידו	VERB
,	PUNCT
אני	PRON
מנחש	VERB
,	PUNCT
לא	ADV
היו	AUX
מצביעים	VERB
עבורו	PRON
.	PUNCT

האוצר	NOUN
תובע	VERB
מההסתדרות	NOUN
להתחייב	VERB
לשקט	NOUN
תעשייתי	ADJ
בתקופת	NOUN
ההסכם	NOUN
לא	ADV
רק	ADV
על	ADP
הנושאים	NOUN
הקשורים	VERB
בו	PRON
במישרין	ADV
,	PUNCT
אלא	CCONJ
אם	SCONJ
גם	ADV
על	ADP
נושאים	NOUN
ייחודיים	ADJ
עליהם	PRON
הוכרזו	VERB
סכסוכי	NOUN
עבודה	NOUN
,	PUNCT
כגון	ADP
תביעות	NOUN
עובדי	NOUN
משרד	NOUN
הקליטה	NOUN
ומשרד	NOUN
החוץ	NOUN
.	PUNCT

קפספקו	X
זכה	VERB
בשבת	PROPN
בתחרות	NOUN
השניה	NUM
בסבב	NOUN
פיליפס	PROPN
בחיפה	PROPN
,	PUNCT
כאשר	SCONJ
ניצחל	VERB
בגמר	NOUN
את	ADP
רביב	PROPN
ויידנפלד	PROPN
75	NUM
,	PUNCT
64	NUM
.	PUNCT

צמו	PROPN
מהרכב	NOUN
נאפולי	PROPN
במשחק	NOUN
החוץ	NOUN
שלה	PRON
היום	ADV
בליגה	NOUN
האיטלקית	ADJ
מול	ADP
בארי	PROPN
מסר	VERB
מאמן	NOUN
הקבוצה	NOUN
אלברטו	PROPN
ביגון	PROPN
.	PUNCT

בבקשה	INTJ
נא	ADV
להפסיק	VERB
את	ADP
הטרור	NOUN
של	ADP
גיבריל	PROPN
אבו	PROPN
-	PUNCT
נידאל	PROPN
וכו	ADV
.	PUNCT
