Δεν	PART
αρκεί	VERB
να	AUX
ιδιωτικοποιούμε	VERB
υπηρεσίες	NOUN
χωρίς	ADP
ελευθέρωση	NOUN
,	PUNCT
διότι	SCONJ
αυτό	PRON
ισοδυναμεί	VERB
με	ADP
αντικατάσταση	NOUN
των	DET
κρατικών	ADJ
μονοπωλίων	NOUN
με	ADP
ιδιωτικά	ADJ
.	PUNCT

Οι	DET
αριθμοί	NOUN
σχετικά	ADV
με	ADP
το	DET
πρώτο	NUM
μισό	NOUN
του	DET
προγράμματος	NOUN
μιλούν	VERB
από	ADP
μόνοι	ADJ
τους	PRON
.	PUNCT

Ο	DET
νέος	ADJ
Υπουργός	NOUN
Εξωτερικών	NOUN
των	DET
ΗΠΑ	NOUN
,	PUNCT
Τζων	PROPN
Κέρι	PROPN
,	PUNCT
επικοινώνησε	VERB
για	ADP
πρώτη	NUM
φορά	NOUN
τηλεφωνικά	ADV
με	ADP
ηγέτες	NOUN
και	CCONJ
ανώτερους	ADJ
αξιωματούχους	NOUN
ξένων	ADJ
χωρών	NOUN
.	PUNCT

Οι	DET
Έλληνες	PROPN
όμως	CCONJ
,	PUNCT
εκτός	ADV
των	DET
αποδεδειγμένων	VERB
ιστορικών	ADJ
αξιώσεων	NOUN
κατείχαν	VERB
και	CCONJ
πολυάριθμα	ADJ
χωριά	NOUN
ιδίως	ADV
στα	ADP
νότια	ADV
που	PRON
σχεδόν	ADV
όλα	ADJ
ήταν	AUX
ελληνόφωνα	ADJ
,	PUNCT
και	CCONJ
παρά	ADP
την	DET
εξάπλωση	NOUN
της	DET
βουλγαρικής	ADJ
Εξαρχίας	NOUN
με	ADP
επισκόπους	NOUN
-	PUNCT
"	PUNCT
βοηθούς	NOUN
"	PUNCT
-	PUNCT
,	PUNCT
τους	DET
λεγόμενους	ADJ
protojereji	X
(	PUNCT
=	SYM
κάτι	PRON
σαν	ADV
πρωτοσύγγελοι	NOUN
)	PUNCT
,	PUNCT
η	DET
Ελληνική	ADJ
Εκκλησία	NOUN
συνέχισε	VERB
να	AUX
κυριαρχεί	VERB
.	PUNCT
