Kuka	DET
itseään	PRON
kunnioittava	VERB
kirjailija	NOUN
enää	PART
kehtaa	VERB
kirjoittaa	VERB
teattereille	NOUN
uutta	ADJ
suomalaista	ADJ
näytelmää	NOUN
.	PUNCT

Miten	ADV
saan	VERB
käsiini	NOUN
vuosia	NOUN
sitten	ADP
julkaistun	VERB
kirjan	NOUN
?	PUNCT

En	AUX
tiedä	VERB
vielä	PART
miten	ADV
,	PUNCT
mutta	CCONJ
uskon	VERB
flamencon	NOUN
tuottavan	VERB
jatkossa	NOUN
paljon	ADV
uutta	ADJ
suomalaiseen	ADJ
tanssi-	X
ja	CCONJ
musiikkikulttuuriin	NOUN
.	PUNCT

Sanokaa	VERB
aa	INTJ
.	PUNCT

Yahoo	PROPN
lupaa	VERB
yhdestä	NUM
ip:stä	NOUN
5000	NUM
kyselyä	NOUN
/	PUNCT
per	ADP
päivä	NOUN
,	PUNCT
mutta	CCONJ
minut	PRON
bannattiin	VERB
sieltä	ADV
aina	ADV
300	NUM
kyselyn	NOUN
jälkeen	ADP
.	PUNCT

Kämppä	NOUN
oli	AUX
ihan	ADV
kuin	SCONJ
meidän	PRON
,	PUNCT
paitsi	ADV
että	SCONJ
sieltä	ADV
puuttui	VERB
pinkit	ADJ
seinät	NOUN
:P	SYM

3.	ADJ
Mikäli	SCONJ
samankaltaista	ADJ
tuotetta	NOUN
ei	AUX
myydä	VERB
tavanomaisessa	ADJ
kaupankäynnissä	NOUN
tai	CCONJ
myynti	NOUN
on	AUX
riittämätöntä	ADJ
tai	CCONJ
erityisestä	ADJ
markkinatilanteesta	NOUN
johtuen	VERB
tällaisen	ADJ
myynnin	NOUN
perusteella	NOUN
ei	AUX
voida	AUX
tehdä	VERB
asianmukaista	ADJ
vertailua	NOUN
,	PUNCT
samankaltaisen	ADJ
tuotteen	NOUN
normaaliarvo	NOUN
lasketaan	VERB
alkuperämaan	NOUN
tuotantokustannusten	NOUN
perusteella	NOUN
lisättynä	VERB
kohtuullisella	ADJ
määrällä	NOUN
myynti-	NOUN
,	PUNCT
hallinto-	NOUN
ja	CCONJ
muita	PRON
kustannuksia	NOUN
sekä	CCONJ
voittoa	NOUN
,	PUNCT
tai	CCONJ
tavanomaisessa	ADJ
kaupankäynnissä	NOUN
soveltuvaan	VERB
kolmanteen	ADJ
maahan	NOUN
käytettyjen	VERB
vientihintojen	NOUN
perusteella	NOUN
edellyttäen	VERB
,	PUNCT
että	SCONJ
hinnat	NOUN
ovat	AUX
edustavia	ADJ
.	PUNCT
