ודק	X
:	PUNCT
האשמה	NOUN
מוטחת	VERB
גם	ADV
בממשלה	NOUN
אשר	SCONJ
מנהיג	NOUN
הליכוד	NOUN
עומד	VERB
בראשה	NOUN
.	PUNCT

הוא	PRON
דיבר	VERB
ברהיטות	NOUN
,	PUNCT
משלב	VERB
בנאומו	NOUN
פסוקים	NOUN
מהמקורות	NOUN
,	PUNCT
מרים	VERB
מדי	ADV
פעם	ADV
את	ADP
קולו	NOUN
,	PUNCT
אבל	CCONJ
לא	ADV
מתלהט	VERB
.	PUNCT

סניגורו	NOUN
של	ADP
הנאשם	NOUN
,	PUNCT
מייקל	PROPN
וורן	PROPN
,	PUNCT
האשים	VERB
אתמול	ADV
את	ADP
המשטרה	NOUN
שהמשיכה	VERB
לחקור	VERB
את	ADP
הנאשם	NOUN
בליל	NOUN
שלישי	PROPN
במשך	ADP
שלוש	NUM
שעות	NOUN
,	PUNCT
למרות	ADP
שקיבלה	VERB
הוראה	NOUN
משפטית	ADJ
מפורשת	ADJ
שלא	ADV
לעשות	VERB
זאת	PRON
.	PUNCT

בבקשה	INTJ
נא	ADV
להפסיק	VERB
את	ADP
הטרור	NOUN
של	ADP
גיבריל	PROPN
אבו	PROPN
-	PUNCT
נידאל	PROPN
וכו	ADV
.	PUNCT

נראה	VERB
כי	SCONJ
פעילי	NOUN
ארגונים	NOUN
אלה	PRON
הם	AUX
שסימנו	VERB
את	ADP
אזרחי	NOUN
ישראל	PROPN
המטיילים	VERB
במצרים	PROPN
כמטרה	NOUN
.	PUNCT

היום	ADV
העולה	NOUN
יודע	VERB
על	ADP
הקיבוץ	NOUN
יותר	ADV
ממה	ADV
שהוא	PRON
יודע	VERB
על	ADP
כל	DET
צורת	NOUN
התיישבות	NOUN
כפרית	ADJ
אחרת	ADJ
.	PUNCT
