அதற்கான	PRON
பதிலாகக்	NOUN
கிடைத்ததில்	VERB
இந்த	DET
முடிவுகள்	NOUN
தெரிய	VERB
வந்தன	AUX
என்று	PART
அந்தப்	DET
பத்திரிகையின்	NOUN
சார்பில்	ADP
தெரிவிக்கப்பட்டுள்ளது	VERB
.	PUNCT

ஒபாமா	PROPN
முஸ்லீம்	NOUN
என	PART
18	NUM
சதவீத	ADJ
மக்கள்	NOUN
நம்புவதாக	VERB
பியு	PROPN
ஆராய்ச்சி	NOUN
மையம்	NOUN
இம்மாதத்	PROPN
தொடக்கத்தில்	NOUN
கருத்துக்	NOUN
கணிப்பு	NOUN
வெளியிட்டிருந்தது	VERB
.	PUNCT

ஐஐடியில்	NOUN
மருத்துவப்	PROPN
படிப்புகள்	NOUN
,	PUNCT
வெளிநாட்டு	PROPN
பேராசிரியர்கள்	NOUN
மற்றும்	CCONJ
மாணவர்கள்	NOUN
,	PUNCT
புதிய	ADJ
நுழைவுத்	NOUN
தேர்வு	NOUN
முறைகள்	NOUN
ஆகியவை	NOUN
குறித்து	ADP
ஆலோசிக்கப்படுவதாக	VERB
நேற்று	ADV
அமைச்சர்	NOUN
கபில்	PROPN
சிபல்	PROPN
கூறியிருந்தார்	VERB
.	PUNCT
