Bu	DET
koca	ADJ
yuvarlak	ADJ
Dünya'nın	PROPN
etrafında	NOUN
dönüyordu	VERB
.	PUNCT

Alev'in	PROPN
babasının	NOUN
amacı	NOUN
,	PUNCT
annesinin	NOUN
parasını	NOUN
istediği	VERB
gibi	ADP
kullanmak	VERB
ve	CCONJ
sevgilisiyle	ADJ
gününü	NOUN
gün	NOUN
etmek	VERB
.	PUNCT

Perakendecilikte	NOUN
araştırmaları	VERB
ve	CCONJ
metodoljik	ADJ
çalışmalarıyla	VERB
tanınan	VERB
Underhill	PROPN
,	PUNCT
dünyada	NOUN
"	PUNCT
Why	PROPN
We	PROPN
Buy	PROPN
:	PUNCT
The	PROPN
Science	PROPN
of	INTJ
Shopping	PROPN
"	PUNCT
(	PUNCT
Neden	ADV
satın	ADV
Alıyoruz	VERB
:	PUNCT
Alışveriş	NOUN
Bilimi	NOUN
)	PUNCT
adlı	NOUN
kitabıyla	NOUN
tanındı	VERB
.	PUNCT

Bemka	PROPN
genel	ADJ
ekonomi	NOUN
ile	ADP
ilgili	ADJ
önerileri	NOUN
ise	AUX
şunlar	PRON
:	PUNCT
.	PUNCT

Akşamları	ADV
lokantada	NOUN
,	PUNCT
kenar	ADJ
köşe	NOUN
bir	NUM
masa	NOUN
kendilerine	PRON
ayrılıyor	VERB
,	PUNCT
hesaptan	NOUN
ayrı	ADJ
getirdikleri	VERB
balıklarla	ADJ
,	PUNCT
bedava	ADJ
bir	NUM
küçük	ADJ
rakıyla	NOUN
,	PUNCT
ufak	ADJ
tefek	X
mezelerle	NOUN
ucuz	ADJ
,	PUNCT
güzel	ADJ
bir	NUM
gece	NOUN
geçiriyorlardı	VERB
.	PUNCT
