Mitä	DET
jumalia	NOUN
kultakorujen	NOUN
omistajat	NOUN
lienevät	AUX
palvelleetkaan	VERB
,	PUNCT
ovat	AUX
ne	PRON
vanhempaa	ADJ
sukua	NOUN
kuin	SCONJ
viikinkien	NOUN
jumalat	NOUN
.	PUNCT

10-	X
ja	CCONJ
12-kerroksiset	ADJ
talot	NOUN

Nyt	ADV
kun	SCONJ
Eurooppa	PROPN
yhdentyy	VERB
,	PUNCT
niin	PART
tarvitaan	VERB
kovassa	ADJ
koulussa	NOUN
karaistuja	VERB
yrityksiä	NOUN
.	PUNCT

Pojat	NOUN
yliopistolla	NOUN
sanovat	VERB
,	PUNCT
että	SCONJ
julkisuus	NOUN
sinänsä	ADV
on	AUX
okei	INTJ
,	PUNCT
jos	SCONJ
saa	VERB
julkisuutta	NOUN
omilla	ADJ
ehdoillaan	NOUN
.	PUNCT

Nojauduin	VERB
epätoivoisesti	ADV
seinää	NOUN
vasten	ADP
,	PUNCT
ja	CCONJ
haparoin	VERB
käsilläni	NOUN
pimeydessä	NOUN
.	PUNCT

|	PUNCT
D09	SYM
|	PUNCT
suhteista	NOUN
Israeliin	PROPN
vastaava	VERB
valtuuskunta	NOUN
:	PUNCT
20	NUM
jäsentä	NOUN
