anne@ekspress.ee	SYM

Selline	DET
lähenemine	NOUN
on	AUX
perspektiivitu	ADJ
ja	CCONJ
kitsarinnaline	ADJ
.	PUNCT

Laadeoperatsioon	NOUN
ld-2	NUM
on	AUX
seotud	ADJ
andmetega	NOUN
,	PUNCT
mida	PRON
valdab	VERB
protsessorüksus	NOUN
PÜ1	NOUN
,	PUNCT
seetõttu	ADV
peatatakse	VERB
protsessorüksuses	NOUN
PÜ2	NOUN
infotöötlus	NOUN
seniks	ADV
,	PUNCT
kuni	SCONJ
PÜ1	NOUN
on	AUX
läbi	ADP
globaalsiini	NOUN
edastanud	VERB
vajalikud	ADJ
andmed	NOUN
(	PUNCT
operandi	NOUN
)	PUNCT
PÜ2-te	NOUN
.	PUNCT

Olen	AUX
ka	ADV
oma	PRON
lähedastega	NOUN
sellest	PRON
rääkinud	VERB
,	PUNCT
ise	PRON
oleksin	VERB
rahul	ADV
kui	SCONJ
tuhastatakse	VERB
,	PUNCT
ja	CCONJ
laul	NOUN
mida	PRON
võiks	AUX
sel	DET
hetkel	NOUN
lasta	VERB
vms	ADV
Eric	PROPN
Clapton	PROPN
:	PUNCT
Tears	PROPN
in	X
heaven	NOUN
:)	INTJ
