നോറ	B-ORG
വാലി	I-ORG
ദേശീയോദ്യാനം	I-ORG

“ആദി	O
മുച്ചിലോട്ട്”	O
എന്ന	O
നിലയിൽ	O
ഏറ്റവും	O
പ്രാധാന്യം	O
കരിവെള്ളൂർ	B-LOC
മുച്ചിലോട്ടിനാണ്	O
.	O

ഘാന	B-LOC
,	O
ബർക്കിനാ	B-LOC
ഫാസോ	I-LOC
,	O
ടോഗോ	B-LOC
,	O
ഐവറി	B-LOC
കോസ്റ്റ്	I-LOC
,	O
ബെനിൻ	B-LOC

2001	O
-	O
സുനിൽ	B-ORG
ഷെട്ടി	I-ORG
,	O
അക്ഷയ്	B-PER
കുമാർ	I-PER
,	O
പരേഷ്	B-PER
റാവൽ	I-PER

*1946	O
-	O
സോവിയറ്റ്	B-LOC
യൂണിയൻ	I-LOC
അർജന്റീനയുമായി	B-LOC
നയതന്ത്രബന്ധങ്ങൾ	O
സ്ഥാപിച്ചു	O
.	O

ലിസെ	B-PER
മെയ്റ്റ്നർ	I-PER
(	O
1878–1968	O
)	O
,	O
German	O
physicist	O
