קפכות	X
,	PUNCT
מנכ"ל	NOUN
רשות	NOUN
החברות	NOUN
הממשלתיות	ADJ
,	PUNCT
שלח	VERB
השבוע	ADV
ל	ADP
,	PUNCT
יו"ר	NOUN
דירקטוריון	NOUN
כי"ל	PROPN
,	PUNCT
תזכורת	NOUN
הנוגעת	VERB
למכירת	NOUN
השליטה	NOUN
בחברה	NOUN
.	PUNCT

בהתייחסו	VERB
לתביעת	NOUN
האוצר	NOUN
מההסתדרות	NOUN
,	PUNCT
לכלול	VERB
בשקט	NOUN
התעשייתי	ADJ
גם	ADV
סכסוכי	NOUN
עבודה	NOUN
ייחודיים	ADJ
,	PUNCT
אומר	VERB
זילוני	PROPN
כי	SCONJ
ההסתדרות	NOUN
אינה	AUX
יכולה	AUX
להתחייב	VERB
בשם	NOUN
עובדים	NOUN
שפנו	VERB
לערכאות	NOUN
משפטיות	ADJ
,	PUNCT
מה	ADV
גם	ADV
שהעילה	NOUN
לסכסוכים	NOUN
אלה	PRON
אינה	AUX
קשורה	ADJ
בהסכמי	NOUN
השכר	NOUN
הארציים	ADJ
אלא	CCONJ
בנושאים	NOUN
יחודיים	ADJ
.	PUNCT

בבקשה	INTJ
נא	ADV
להפסיק	VERB
את	ADP
הטרור	NOUN
של	ADP
גיבריל	PROPN
אבו	PROPN
-	PUNCT
נידאל	PROPN
וכו	ADV
.	PUNCT

פ.	PROPN
ס.	PROPN
וו.	PROPN
איננדהובן	PROPN
,	PUNCT
אותה	PRON
מאמן	VERB
האנגלי	NOUN
בובי	PROPN
רובסון	PROPN
,	PUNCT
עלתה	VERB
למקום	NOUN
הראשון	ADJ
,	PUNCT
אחרי	ADP
ניצחון	NOUN
חוץ	NOUN
1	NUM
0	NUM
על	ADP
שחיידאם	PROPN
משער	NOUN
של	ADP
קומאן	PROPN
בדקה	NOUN
ה	DET
-	PUNCT
66	NUM
.	PUNCT
