Noh	INTJ
,	PUNCT
et	SCONJ
oleks	VERB
mõni	DET
kõrgem	ADJ
koht	NOUN
,	PUNCT
kus	ADV
...	PUNCT

Ka	ADV
5	NUM
%	SYM
anšooviseõli	NOUN
kalkunite	NOUN
söödaratsioonis	NOUN
alandas	VERB
nende	PRON
sööda	NOUN
konversiooni	NOUN
(	PUNCT
Neudoerffer	PROPN
,	PUNCT
Lea	PROPN
,	PUNCT
1966	NUM
)	PUNCT
.	PUNCT

Aja	NOUN
jooksul	ADP
pruritus	X
vähenes	VERB
,	PUNCT
kuid	CCONJ
naha	NOUN
välised	ADJ
muutused	NOUN
ei	AUX
taandarenenud	VERB
.	PUNCT

Ka	ADV
sellised	DET
eksportivad	ADJ
sektorid	NOUN
,	PUNCT
kus	ADV
odavamatesse	ADJ
maadesse	NOUN
liikumine	NOUN
on	AUX
tõenäoline	ADJ
,	PUNCT
nagu	SCONJ
näiteks	ADV
õmblus-	NOUN
ja	CCONJ
tekstiilitööstus	NOUN
,	PUNCT
peaksid	AUX
kallinemise	NOUN
seisukohalt	ADV
hinnates	VERB
veel	ADV
3-4	NUM
aastat	NOUN
vastu	ADV
pidama	VERB
.	PUNCT
