Каква	DET
е	AUX
цената	NOUN
на	ADP
успеха	NOUN
за	ADP
теб	PRON
?	PUNCT

-	PUNCT
Не	INTJ
.	PUNCT

Според	ADP
Славински	PROPN
претенциите	NOUN
се	PRON
основавали	VERB
на	ADP
клаузи	NOUN
,	PUNCT
които	PRON
не	PART
фигурират	VERB
нито	CCONJ
в	ADP
договора	NOUN
,	PUNCT
подписан	ADJ
между	ADP
фирмата	NOUN
и	CCONJ
предшественика	NOUN
му	PRON
Вилхелм	PROPN
Краус	PROPN
,	PUNCT
нито	CCONJ
в	ADP
анекса	NOUN
,	PUNCT
подписан	ADJ
от	ADP
него	PRON
.	PUNCT

"	PUNCT
Янке	PROPN
,	PUNCT
бир	X
дакика	X
"	PUNCT
,	PUNCT
включва	VERB
се	PRON
зетят	NOUN
Андон	PROPN
с	ADP
единственото	ADJ
,	PUNCT
което	PRON
знае	VERB
на	ADP
турски	ADJ
-	PUNCT
"	PUNCT
една	NUM
минутка	NOUN
"	PUNCT
да	AUX
я	PRON
прекъсне	VERB
.	PUNCT

Според	ADP
него	PRON
най-важната	ADJ
задача	NOUN
сега	ADV
е	VERB
да	AUX
се	PRON
трансформира	VERB
финансовата	ADJ
стабилност	NOUN
в	ADP
реален	ADJ
икономически	ADJ
растеж	NOUN
и	CCONJ
да	AUX
се	PRON
подобри	VERB
състоянието	NOUN
на	ADP
хората	NOUN
.	PUNCT

Така	ADV
че	SCONJ
в	ADP
рамките	NOUN
на	ADP
шегата	NOUN
,	PUNCT
аз	PRON
имам	VERB
на	ADP
главата	NOUN
си	PRON
18	NUM
"	PUNCT
началници	NOUN
"	PUNCT
в	ADP
Конгреса	PROPN
.	PUNCT
