А	CCONJ
когато	ADV
тя	PRON
си	PRON
тръгна	VERB
от	ADP
вечеринката	NOUN
с	ADP
някакво	DET
непознато	ADJ
момче	NOUN
,	PUNCT
тогава	ADV
пък	PART
аз	PRON
разбрах	VERB
,	PUNCT
че	SCONJ
в	ADP
този	DET
лов	NOUN
на	ADP
неопитни	ADJ
сърца	NOUN
играех	VERB
заека	NOUN
.	PUNCT

Явно	ADV
да	INTJ
,	PUNCT
след	ADP
като	ADP
през	ADP
2001	ADJ
г.	NOUN
социалната	ADJ
бюрокрация	NOUN
ще	AUX
похарчи	VERB
42	NUM
млн.	NOUN
лева	NOUN
за	ADP
себе	PRON
си	PART
.	PUNCT

"	PUNCT
Янке	PROPN
,	PUNCT
бир	X
дакика	X
"	PUNCT
,	PUNCT
включва	VERB
се	PRON
зетят	NOUN
Андон	PROPN
с	ADP
единственото	ADJ
,	PUNCT
което	PRON
знае	VERB
на	ADP
турски	ADJ
-	PUNCT
"	PUNCT
една	NUM
минутка	NOUN
"	PUNCT
да	AUX
я	PRON
прекъсне	VERB
.	PUNCT

Два	NUM
часа	NOUN
преди	ADP
стрелките	NOUN
на	ADP
часовника	NOUN
да	AUX
се	PRON
слеят	VERB
жълтите	ADJ
павета	NOUN
бяха	AUX
изпълнени	VERB
наполовина	ADV
.	PUNCT

Асен	PROPN
Агов	PROPN
е	AUX
изразил	VERB
лично	ADJ
мнение	NOUN
с	ADP
революционното	ADJ
си	PRON
изказване	NOUN
да	AUX
излезем	VERB
от	ADP
Пакта	NOUN
за	ADP
стабилност	NOUN
,	PUNCT
ако	SCONJ
не	PART
ни	PRON
извадят	VERB
от	ADP
визовия	ADJ
списък	NOUN
.	PUNCT
