तो	DET
पाठीमागून	ADV
कोणी	PRON
येत	VERB
आहे	AUX
असे	ADV
त्यांना	PRON
वाटले	VERB
.	PUNCT

दोन	NUM
लाडू	NOUN
शिल्लक	ADJ
होते	AUX
.	PUNCT

मिळतील	VERB
ते	PRON
मोती	NOUN
तोंडात	NOUN
धरून	VERB
आणू	VERB
,	PUNCT
राजाच्या	ADP
अंगणात	NOUN
ढीग	NOUN
घालू	VERB
!	PUNCT

पशु	NOUN
-	PUNCT
पक्ष्यांतही	NOUN
केवढी	ADJ
कृतज्ञताबुद्धी	NOUN
!	PUNCT
असे	SCONJ
त्याच्या	PRON
मनात	NOUN
येत	VERB
होते	AUX
.	PUNCT

ती	PRON
टेबलाखाली	NOUN
आणि	CCONJ
खुर्च्यांच्याखाली	NOUN
बघते	VERB
,	PUNCT
पण	CCONJ
जेम्स	PROPN
तिकडे	ADV
नाही	AUX
आहे	AUX
.	PUNCT

अरे	INTJ
,	PUNCT
आजूबाजूला	NOUN
आता	ADV
सगळीकडे	ADV
माझी	PRON
जमीन	NOUN
!	PUNCT
