Banjur	O
rekor	O
iku	O
direbut	O
déning	O
Thierry	B-PER
Henry	I-PER
.	O

Kabupatèn	B-LOC
Alor	I-LOC
,	O
Nusa	B-LOC
Tenggara	I-LOC
Wétan	I-LOC

Universitas	B-ORG
Diponegoro	I-ORG
(	O
UNDIP	O
)	O

Punika	O
ugi	O
langkung	O
amargi	O
kabegjan	O
,	O
amargi	O
Michael	B-PER
Schumacher	I-PER
ingkang	O
nalika	O
punika	O
saweg	O
mimpin	O
balapan	O
,	O
ngalami	O
perkawis	O
transmisi	O
wonten	O
ing	O
lap	O
ingkang	O
pungkasan	O
.	O

Garuda	B-ORG
Indonésia	I-ORG
(	O
Jakarta	B-LOC
)	O

'	O
''	O
Rafael	B-PER
Nadal	I-PER
[1]	O
''	O
'	O

Repertoar	O
iki	O
arupa	O
daur	O
ulang	O
saka	O
répertoar	O
berjudul	O
padha	O
kang	O
pernah	O
ditotonaké	O
déning	O
Tim	O
S	O
SKE48	B-ORG
.	O

Mayu	B-PER
Watanabe	I-PER
(	O
渡辺	O
麻友	O
)	O

ALIH	O
Kebon	B-ORG
Botani	I-ORG
Kalmthout	I-ORG

Powiat	B-LOC
Przasnysz	I-LOC
,	O
Przasnysz	B-LOC

ALIH	O
Vocan	B-LOC
Santa	I-LOC
Maria	I-LOC

Powiat	B-LOC
Ząbkowice	I-LOC
Śląskie	I-LOC
,	O
Ząbkowice	B-LOC
Śląskie	I-LOC

Dana	B-ORG
Monetèr	I-ORG
Internasional	I-ORG
(	O
''IMF	O
''	O
)	O
