montako	DET
litran	NOUN
tölkkiä	NOUN

ajattelin	VERB
jopa	PART
,	PUNCT
että	SCONJ
naisten	NOUN
terveys-	X
ja	CCONJ
kauneuslehdet	NOUN
hössöttävät	VERB
aivan	PART
tarpeettomasti	ADV
.	PUNCT

Seuraamme	VERB
ja	CCONJ
valmistelemme	VERB
myös	ADV
-	PUNCT
tämä	PRON
on	AUX
toinen	ADJ
asia	NOUN
,	PUNCT
joka	PRON
putkahti	VERB
esiin	ADV
keskustelussa	NOUN
-	PUNCT
foorumin	NOUN
ensimmäistä	ADJ
tapaamista	NOUN
Maltassa	PROPN
23.	ADJ
ja	CCONJ
24.	ADJ
maaliskuuta	NOUN
.	PUNCT

Mitä	ADV
vittua	INTJ
?	PUNCT

Marraskuun	NOUN
lopusta	NOUN
lähtien	ADP
olemme	AUX
myyneet	VERB
tuhansia	NUM
ell	SCONJ
ei	AUX
jopa	ADV
kymmeniä	NUM
tuhansia	NUM
pulloja	NOUN

Isossa-Britanniassa	PROPN
viranomaiset	NOUN
ovat	AUX
ottaneet	VERB
haltuunsa	ADV
islantilaisen	ADJ
Kaupthingin	PROPN
tytäryhtiön	NOUN
Singer	PROPN
&	SYM
Friedlanderin	PROPN
,	PUNCT
sillä	SCONJ
sen	PRON
ei	AUX
katsottu	VERB
kykenevän	VERB
selviävän	VERB
ongelmistaan	NOUN
itse	ADV
.	PUNCT
