היא	PRON
איננה	AUX
ימנית	ADJ
,	PUNCT
שמאלית	ADJ
או	CCONJ
מרכזית	ADJ
,	PUNCT
ואף	ADV
לא	ADV
פשרה	NOUN
בין	ADP
הימין	NOUN
לשמאל	NOUN
.	PUNCT

קפספבינהמנכ"ל	X
אופטימי	ADJ
,	PUNCT
לפחות	ADV
במישור	NOUN
המקצועי	ADJ
.	PUNCT

בבקשה	INTJ
נא	ADV
להפסיק	VERB
את	ADP
הטרור	NOUN
של	ADP
גיבריל	PROPN
אבו	PROPN
-	PUNCT
נידאל	PROPN
וכו	ADV
.	PUNCT

עד	ADP
2991	NUM
מתכננים	VERB
להקים	VERB
בדיסני	PROPN
-	PUNCT
וורלד	PROPN
עוד	ADV
שלושה	NUM
בתי	NOUN
מלון	NOUN
(	PUNCT
כ4,000	NUM
חדרים	NOUN
)	PUNCT
,	PUNCT
שטח	NOUN
לעריכת	NOUN
כנסים	NOUN
,	PUNCT
מבני	NOUN
משרדים	NOUN
,	PUNCT
מגורים	NOUN
ועוד	ADV
אתרי	NOUN
בידור	NOUN
.	PUNCT

ללא	ADP
קשר	NOUN
להצלחתה	NOUN
,	PUNCT
אפשר	AUX
לאמץ	VERB
לפי	ADP
שעה	NOUN
את	ADP
סיכום	NOUN
הביניים	NOUN
של	ADP
מזכירת	NOUN
רוחמה	PROPN
:	PUNCT
"	PUNCT
אם	SCONJ
בין	ADP
ירושלים	PROPN
לרוחמה	PROPN
אין	VERB
אף	DET
קיבוץ	NOUN
שיש	VERB
בו	PRON
עולים	NOUN
,	PUNCT
זו	PRON
סיבה	NOUN
להתבייש	VERB
"	PUNCT
.	PUNCT
