Щом	SCONJ
се	PRON
доближил	VERB
и	CCONJ
видял	VERB
каква	DET
е	AUX
работата	NOUN
,	PUNCT
глътнал	VERB
си	PRON
езика	NOUN
.	PUNCT

Той	PRON
й	PRON
направи	VERB
знак	NOUN
да	AUX
влезе	VERB
,	PUNCT
посочи	VERB
й	PRON
двата	NUM
мяха	NOUN
,	PUNCT
проснати	ADJ
в	ADP
краката	NOUN
им	PRON
като	ADP
заклани	ADJ
ярета	NOUN
.	PUNCT

-	PUNCT
Хм	INTJ
...	PUNCT
-	PUNCT
чу	VERB
почти	ADV
беззвучния	ADJ
възглас	NOUN
на	ADP
Вики	PROPN
,	PUNCT
както	ADV
всеки	DET
път	NOUN
,	PUNCT
когато	ADV
категорично	ADV
се	PRON
противопоставяше	VERB
да	AUX
разговарят	VERB
.	PUNCT

Убийството	NOUN
е	AUX
станало	VERB
в	ADP
подземния	ADJ
паркинг	NOUN
на	ADP
сградата	NOUN
,	PUNCT
където	ADV
е	AUX
жилището	NOUN
на	ADP
ексминистъра	NOUN
.	PUNCT

"	PUNCT
Янке	PROPN
,	PUNCT
бир	X
дакика	X
"	PUNCT
,	PUNCT
включва	VERB
се	PRON
зетят	NOUN
Андон	PROPN
с	ADP
единственото	ADJ
,	PUNCT
което	PRON
знае	VERB
на	ADP
турски	ADJ
-	PUNCT
"	PUNCT
една	NUM
минутка	NOUN
"	PUNCT
да	AUX
я	PRON
прекъсне	VERB
.	PUNCT

Това	PRON
не	PART
стана	VERB
.	PUNCT
