제2단계에	PART
접어들면서	CCONJ
만해의	PROPN
반제	NOUN
민족저항투쟁은	NOUN
그	DET
면목이	NOUN
일신된다	VERB
.	PUNCT

저	INTJ
한마디	NOUN
말씀해도	SCONJ
되겠습니까	VERB
?	PUNCT

더구나	ADV
대만의	PROPN
그것은	PRON
42.8	NUM
%	SYM
에	ADP
달하고	VERB
있다	AUX
.	PUNCT

아테네가	PROPN
페리크레스	PROPN
Perikles	X
(	PUNCT
기원전	NOUN
5	NUM
세기	NOUN
후반에	ADV
아테네를	PROPN
통치	NOUN
했다	VERB
)	PUNCT
의	ADP
시대에	ADV
상업의	NOUN
번영을	NOUN
보았을	VERB
때	NOUN
,	PUNCT
아테네인들은	NOUN
자유주의적이	NOUN
되었다	VERB
.	PUNCT

그러므로	CCONJ
태양이나	CCONJ
행성의	NOUN
궤도를	NOUN
계산하는	VERB
데	NOUN
그들의	PRON
구조나	CCONJ
화학	NOUN
성분에	ADV
관한	VERB
이론은	NOUN
필요치	ADV
않다	ADJ
.	PUNCT
