Royal	X
Albert	PROPN
Hallin	PROPN
yleisö	NOUN
elää	VERB
mukana	ADV
laulaen	VERB
ja	CCONJ
taputtaen	VERB
,	PUNCT
serpentiinejä	NOUN
ja	CCONJ
ilmapalloja	NOUN
heitellen	VERB
.	PUNCT

prosessivertaus	NOUN
nyt	PART
ei	AUX
aivan	PART
täsmälleen	ADV
siihen	PRON
tietysti	PART
sovi	VERB
mutta	CCONJ
mutta	CCONJ
saman	DET
tyyppisiä	ADJ
elementtejä	NOUN
siinä	PRON
on	VERB
materiaalihankintaa	NOUN
ö	INTJ
asian	NOUN
tutkimista	NOUN
päätöstä	NOUN
siitä	PRON
että	SCONJ
tälläiseen	DET
työhön	NOUN
ryhtyy	VERB
ja	CCONJ
ja	CCONJ
sitten	ADV
sen	PRON
toteuttaminen	NOUN
mh	INTJ
määrätyssä	ADJ
aikataulussa	NOUN
jonka	PRON
on	AUX
itsellensä	PRON
mhh	INTJ
luonut	VERB

Mitään	DET
syytä	NOUN
huoleen	NOUN
ei	AUX
ole	VERB
.	PUNCT

Arkkitehtikunnan	NOUN
ulkopuolella	ADP
esimerkiksi	ADV
J.	PROPN
P.	PROPN
Roos	PROPN
on	AUX
arvostellut	VERB
häntä	PRON
terävästi	ADV
liian	ADV
tinkimättömästä	ADJ
modernista	ADJ
otteesta	NOUN
.	PUNCT

Venera	PROPN
13	NUM
laskeutui	VERB
koordinaatteihin	NOUN
7,5°	SYM
eteläistä	ADJ
,	PUNCT
303°	SYM
itäistä	ADJ
,	PUNCT
arviolta	NOUN
950	NUM
km	NOUN
koilliseen	NOUN
Venera	PROPN
14:sta	NUM
Phoebe-ylänköalueen	NOUN
itäpuolelle	NOUN
.	PUNCT
